date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,sweep_level,sweep_weight,induction_price,excellence,confidence,market_state,h4_bias,h1_bias,htf_combined
2024-08-09,2024-08-09 12:37:00+00:00,2024-08-09T14:19:00.000000,long,Normal,1.09129,1.09084,1.09264,1.09264,4.5,0.13,5.28,win,15.85,191.99,1,divergence|quarters|magnets,eq_low,2,1.09104,True,high,ok,neutral,long,long
2024-08-09,2024-08-09 12:40:00+00:00,2024-08-09T14:04:00.000000,long,Normal,1.09125,1.09084,1.09248,1.09248,4.1,0.15,5.76,win,17.28,209.27,2,divergence|quarters|magnets,eq_low,2,1.09104,False,high,ok,neutral,long,long
2024-08-09,2024-08-09 12:50:00+00:00,2024-08-09T13:30:00.000000,long,Normal,1.09121,1.09084,1.09232,1.09232,3.7,0.18,6.28,win,18.83,228.11,3,divergence|quarters|magnets,eq_low,2,1.09104,True,high,ok,neutral,long,long
2024-09-05,2024-09-05 13:14:00+00:00,2024-09-05T13:17:00.000000,short,Sierra,1.10952,1.10982,1.10862,1.10982,3.0,0.22,6.84,loss,-6.84,221.26,1,quarters|gap,prev_day_high,3,1.10962,False,normal,ok,short,short,short
2024-09-10,2024-09-10 11:06:00+00:00,2024-09-10T11:09:00.000000,short,Normal,1.10424,1.10436,1.10388,1.10436,1.2,0.54,6.64,loss,-6.64,214.63,1,divergence|gap|magnets,asia_high,2,1.10416,False,high,ok,short,long,neutral
2024-09-26,2024-09-26 11:51:00+00:00,2024-09-26T12:01:00.000000,short,Normal,1.11573,1.11614,1.1145,1.11573,4.1,0.16,6.44,be,0.0,214.63,1,divergence|quarters|gap|magnets,eq_high,2,1.11594,True,high,ok,neutral,short,short
2024-09-26,2024-09-26 13:10:00+00:00,2024-09-26T13:11:00.000000,short,Normal,1.11461,1.11484,1.11392,1.11461,2.3,0.28,6.44,be,0.0,214.63,2,divergence|quarters|gap,asia_high,2,1.11464,True,normal,ok,neutral,short,short
2024-10-07,2024-10-07 12:52:00+00:00,2024-10-07T13:07:00.000000,short,Normal,1.09779,1.09807,1.09695,1.09807,2.8,0.22,6.44,loss,-6.44,208.19,1,divergence|quarters|gap|magnets,asia_high,2,1.09787,True,high,ok,short,short,short
2024-10-08,2024-10-08 12:52:00+00:00,2024-10-08T12:56:00.000000,long,Normal,1.09751,1.09718,1.0985,1.09718,3.3,0.18,6.25,loss,-6.25,201.94,1,divergence|quarters|magnets,eq_low,2,1.09738,True,high,ok,long,long,long
2024-10-15,2024-10-15 12:42:00+00:00,2024-10-15T12:58:00.000000,short,Normal,1.09099,1.09129,1.09009,1.09099,3.0,0.2,6.06,be,0.0,201.94,1,divergence|gap|magnets,asia_high,2,1.09109,True,high,ok,short,neutral,short
2024-10-30,2024-10-30 11:35:00+00:00,2024-10-30T12:13:00.000000,long,Normal,1.08119,1.08076,1.08248,1.08119,4.3,0.14,6.06,be,0.0,201.94,1,divergence|quarters,eq_low,2,1.08096,False,normal,ok,short,long,neutral
2024-10-30,2024-10-30 12:42:00+00:00,2024-10-30T12:43:00.000000,short,Normal,1.08258,1.08297,1.08141,1.08297,3.9,0.15,6.06,loss,-6.06,195.88,2,divergence|gap|magnets,asia_high,2,1.08277,True,high,ok,short,long,neutral
2024-11-13,2024-11-13 12:23:00+00:00,2024-11-13T12:44:00.000000,short,Normal,1.06279,1.06329,1.06129,1.06329,5.0,0.11,5.88,loss,-5.88,190.01,1,quarters|gap,asia_high,2,1.06309,False,normal,ok,neutral,neutral,neutral
2024-11-25,2024-11-25 12:57:00+00:00,2024-11-25T13:01:00.000000,short,Normal,1.04895,1.04945,1.04745,1.04945,5.0,0.11,5.7,loss,-5.7,184.31,1,divergence|gap|magnets,asia_high,2,1.04925,True,high,ok,long,short,neutral
2024-12-04,2024-12-04 14:32:00+00:00,2024-12-04T14:37:00.000000,long,Normal,1.04915,1.04847,1.05119,1.04847,6.8,0.08,5.53,loss,-5.53,178.78,1,divergence|quarters|magnets,asia_low,2,1.04867,False,high,ok,long,neutral,long
2024-12-10,2024-12-10 14:01:00+00:00,2024-12-10T14:52:00.000000,long,Normal,1.05226,1.05185,1.05349,1.05226,4.1,0.13,5.36,be,0.0,178.78,1,divergence|quarters|magnets,eq_low,2,1.05205,False,high,ok,neutral,neutral,neutral
2024-12-13,2024-12-13 12:55:00+00:00,2024-12-13T12:57:00.000000,short,Normal,1.05098,1.05125,1.05017,1.05125,2.7,0.19,5.36,loss,-5.36,173.41,1,divergence|quarters|gap|magnets,eq_high,2,1.05105,False,high,ok,long,short,neutral
2024-12-16,2024-12-16 14:37:00+00:00,2024-12-16T14:45:00.000000,long,Normal,1.0488,1.04842,1.04994,1.04842,3.8,0.13,5.2,loss,-5.2,168.21,1,divergence|quarters|magnets,eq_low,2,1.04862,False,high,ok,neutral,long,long
