date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,sweep_level,sweep_weight,induction_price,excellence
2025-07-23,2025-07-23 14:52:00+00:00,2025-07-23T15:34:00.000000,long,Normal,1.1731,1.17262,1.17454,1.17262,4.8,0.23,11.1,loss,-11.1,1099.2,1,divergence|quarters,asia_low,2,1.17282,False
2025-08-07,2025-08-07 13:28:00+00:00,2025-08-07T13:39:00.000000,long,Normal,1.16511,1.16453,1.16685,1.16453,5.8,0.19,10.99,loss,-10.99,1088.21,1,divergence|quarters,asia_low,2,1.16473,False
2025-08-21,2025-08-21 12:50:00+00:00,2025-08-21T13:42:00.000000,short,Normal,1.16507,1.16547,1.16387,1.16387,4.0,0.28,10.88,win,32.65,1120.85,1,divergence|magnets,asia_high,2,1.16527,False
2025-08-21,2025-08-21 14:30:00+00:00,2025-08-21T14:37:00.000000,long,Normal,1.1622,1.16183,1.16331,1.16183,3.7,0.3,11.21,loss,-11.21,1109.64,2,quarters|magnets,prev_day_low,3,1.16203,False
2025-08-26,2025-08-26 14:50:00+00:00,2025-08-26T17:58:00.000000,short,Normal,1.16577,1.16639,1.16391,1.16391,6.2,0.18,11.1,win,33.29,1142.93,1,quarters|magnets,asia_high,2,1.16619,False
2025-08-29,2025-08-29 12:12:00+00:00,2025-08-29T12:32:00.000000,long,Normal,1.16574,1.16507,1.16775,1.16507,6.7,0.17,11.43,loss,-11.43,1131.5,1,divergence|quarters|magnets,asia_low,2,1.16527,True
2025-09-18,2025-09-18 12:44:00+00:00,2025-09-18T12:45:00.000000,long,Normal,1.18057,1.18034,1.18126,1.18034,2.3,0.49,11.32,loss,-11.32,1120.19,1,divergence|magnets,prev_day_low,3,1.18054,False
2025-10-01,2025-10-01 12:20:00+00:00,2025-10-01T15:20:00.000000,short,Normal,1.17591,1.17708,1.1724,1.1724,11.7,0.1,11.2,win,33.61,1153.79,1,divergence|magnets,prev_day_high,3,1.17688,False
2025-10-01,2025-10-01 12:24:00+00:00,,short,Normal,1.17498,1.17658,1.17018,1.17658,16.0,0.07,11.54,loss,-11.54,1142.26,2,divergence|magnets,prev_day_high,3,1.17638,False
2025-10-02,2025-10-02 13:15:00+00:00,2025-10-02T15:14:00.000000,short,Normal,1.17345,1.17451,1.17027,1.17027,10.6,0.11,11.42,win,34.27,1176.52,1,divergence|quarters,asia_high,2,1.17431,False
2025-10-02,2025-10-02 13:32:00+00:00,2025-10-02T13:43:00.000000,short,Normal,1.17407,1.17456,1.1726,1.1726,4.9,0.25,11.77,win,35.3,1211.82,2,divergence|quarters,asia_high,2,1.17436,False
2025-10-10,2025-10-10 12:02:00+00:00,2025-10-10T15:05:00.000000,long,Normal,1.1567,1.1557,1.1597,1.1597,10.0,0.12,12.12,win,36.35,1248.17,1,divergence|quarters,asia_low,2,1.1559,False
2025-10-10,2025-10-10 14:13:00+00:00,2025-10-10T14:55:00.000000,short,Normal,1.15737,1.15772,1.15632,1.15772,3.5,0.35,12.48,loss,-12.48,1235.69,2,divergence|magnets,asia_high,2,1.15752,False
2025-10-14,2025-10-14 14:48:00+00:00,2025-10-14T15:50:00.000000,short,Normal,1.15894,1.15983,1.15627,1.15983,8.9,0.14,12.36,loss,-12.36,1223.34,1,divergence|quarters|magnets,asia_high,2,1.15963,False
2025-10-23,2025-10-23 13:44:00+00:00,2025-10-23T14:03:00.000000,short,Normal,1.16066,1.16103,1.15955,1.16103,3.7,0.33,12.23,loss,-12.23,1211.1,1,divergence|magnets,asia_high,2,1.16083,False
2025-10-27,2025-10-27 13:14:00+00:00,2025-10-27T13:54:00.000000,short,Normal,1.16394,1.16409,1.16349,1.16409,1.5,0.8,12.11,loss,-12.11,1198.99,1,divergence|quarters,prev_day_high,3,1.16389,False
2025-11-14,2025-11-14 12:22:00+00:00,2025-11-14T12:46:00.000000,long,Normal,1.16289,1.16236,1.16448,1.16448,5.3,0.23,11.99,win,35.97,1234.96,1,quarters|magnets,asia_low,2,1.16256,False
2025-11-19,2025-11-19 13:58:00+00:00,2025-11-19T14:06:00.000000,long,Normal,1.15726,1.15688,1.1584,1.15688,3.8,0.32,12.35,loss,-12.35,1222.61,1,divergence|magnets,asia_low,2,1.15708,False
2025-11-20,2025-11-20 14:50:00+00:00,2025-11-20T15:47:00.000000,short,Normal,1.15383,1.15439,1.15215,1.15215,5.6,0.22,12.23,win,36.68,1259.29,1,divergence|magnets,asia_high,2,1.15419,False
2025-11-26,2025-11-26 14:34:00+00:00,2025-11-26T15:06:00.000000,long,Sierra,1.15677,1.15601,1.15905,1.15905,7.6,0.17,12.59,win,37.78,1297.07,1,divergence|quarters|magnets,asia_low,2,1.15621,False
2025-12-09,2025-12-09 13:50:00+00:00,2025-12-09T14:13:00.000000,long,Normal,1.16362,1.1632,1.16488,1.1632,4.2,0.31,12.97,loss,-12.97,1284.1,1,quarters|magnets,asia_low,2,1.1634,False
2025-12-19,2025-12-19 14:10:00+00:00,2025-12-19T14:13:00.000000,short,Normal,1.17295,1.17326,1.17202,1.17326,3.1,0.41,12.84,loss,-12.84,1271.26,1,divergence|magnets,asia_high,2,1.17306,False
2025-12-29,2025-12-29 14:48:00+00:00,2025-12-29T15:59:00.000000,short,Normal,1.17846,1.17905,1.17669,1.17669,5.9,0.22,12.71,win,38.14,1309.4,1,divergence|magnets,asia_high,2,1.17885,False
