date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,induction_price,excellence,h4_bias,h1_bias,htf_combined
2025-03-25,2025-03-25 15:04:00+00:00,2025-03-25T18:15:00.000000,long,Normal,1.08057,1.0795,1.08378,1.0795,10.7,0.1,10.74,loss,-10.74,347.34,1,divergence|magnets,1.0797,False,neutral,neutral,neutral
2025-03-26,2025-03-26 16:39:00+00:00,2025-03-26T16:52:00.000000,long,Normal,1.07564,1.07496,1.07768,1.07564,6.8,0.15,10.42,be,0.0,347.34,1,divergence|quarters|magnets,1.07516,False,long,neutral,long
2025-03-26,2025-03-26 16:59:00+00:00,2025-03-26T18:11:00.000000,long,Normal,1.07565,1.07505,1.07745,1.07505,6.0,0.17,10.42,loss,-10.42,336.92,2,divergence|quarters|magnets,1.07525,False,long,neutral,long
2025-03-31,2025-03-31 14:13:00+00:00,2025-03-31T14:24:00.000000,long,Normal,1.08071,1.0794,1.08464,1.0794,13.1,0.07,10.11,loss,-10.11,326.81,1,quarters|magnets,1.0796,False,long,neutral,long
2025-04-02,2025-04-02 15:16:00+00:00,2025-04-02T15:46:00.000000,short,Normal,1.08534,1.0864,1.08216,1.0864,10.6,0.09,9.8,loss,-9.8,317.01,1,divergence|quarters|magnets,1.0862,False,neutral,short,short
2025-04-07,2025-04-07 14:10:00+00:00,2025-04-07T14:46:00.000000,long,Normal,1.09539,1.09331,1.10163,1.09331,20.8,0.04,9.51,loss,-9.51,307.5,1,divergence|quarters,1.09351,False,short,long,neutral
2025-04-14,2025-04-14 13:32:00+00:00,2025-04-14T14:25:00.000000,long,Normal,1.13083,1.1296,1.13452,1.13452,12.3,0.08,9.22,win,27.67,335.17,1,quarters|magnets,1.1298,False,neutral,long,long
2025-04-14,2025-04-14 14:50:00+00:00,2025-04-14T15:20:00.000000,long,Normal,1.13572,1.13452,1.13932,1.13572,12.0,0.08,10.06,be,0.0,335.17,2,divergence|quarters|magnets,1.13472,False,neutral,long,long
2025-04-14,2025-04-14 14:51:00+00:00,2025-04-14T16:22:00.000000,long,Normal,1.13612,1.13452,1.14092,1.13452,16.0,0.06,10.06,loss,-10.06,325.12,3,divergence|quarters|magnets,1.13472,True,neutral,long,long
2025-04-15,2025-04-15 16:01:00+00:00,2025-04-15T16:11:00.000000,long,Normal,1.12918,1.12801,1.13269,1.12801,11.7,0.08,9.75,loss,-9.75,315.36,1,divergence|magnets,1.12821,False,neutral,long,long
2025-04-18,2025-04-18 15:04:00+00:00,,short,Normal,1.13921,1.13992,1.13708,1.13992,7.1,0.13,9.46,loss,-9.46,305.9,1,divergence|quarters|magnets,1.13972,False,short,short,short
2025-04-23,2025-04-23 15:22:00+00:00,2025-04-23T15:23:00.000000,long,Normal,1.13541,1.13417,1.13913,1.13541,12.4,0.07,9.18,be,0.0,305.9,1,quarters|magnets,1.13437,False,neutral,neutral,neutral
2025-04-23,2025-04-23 15:23:00+00:00,2025-04-23T16:54:00.000000,long,Normal,1.13691,1.13417,1.14513,1.13417,27.4,0.03,9.18,loss,-9.18,296.73,2,quarters|magnets,1.13437,False,neutral,neutral,neutral
2025-05-15,2025-05-15 13:53:00+00:00,2025-05-15T14:20:00.000000,long,Sierra,1.12006,1.11929,1.12237,1.11929,7.7,0.11,8.9,loss,-8.9,287.82,1,divergence|quarters,1.11949,False,neutral,long,long
