date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,sweep_level,sweep_weight,induction_price,excellence
2024-06-05,2024-06-05 13:45:00+00:00,2024-06-05T14:00:00.000000,short,Normal,1.08843,1.089,1.08672,1.08672,5.7,0.17,9.3,win,27.91,958.32,1,divergence|magnets|gap,asia_high,2,1.0888,True
2024-06-05,2024-06-05 14:00:00+00:00,2024-06-05T16:10:00.000000,short,Normal,1.08822,1.08911,1.08555,1.08555,8.9,0.11,9.58,win,28.75,987.07,2,divergence|magnets|gap,asia_high,2,1.08891,True
2024-07-02,2024-07-02 14:04:00+00:00,2024-07-02T14:57:00.000000,short,Normal,1.07357,1.07426,1.0715,1.07426,6.9,0.14,9.87,loss,-9.87,977.2,1,magnets|gap,asia_high,2,1.07406,False
2024-07-05,2024-07-05 12:53:00+00:00,2024-07-05T12:55:00.000000,short,Normal,1.08231,1.08288,1.0806,1.08288,5.7,0.17,9.77,loss,-9.77,967.43,1,magnets|gap,asia_high,2,1.08268,False
2024-07-12,2024-07-12 14:41:00+00:00,2024-07-12T14:43:00.000000,short,Normal,1.09009,1.09034,1.08934,1.09034,2.5,0.38,9.67,loss,-9.67,957.76,1,divergence|quarters|magnets|gap,prev_day_high,3,1.09014,False
2024-07-25,2024-07-25 13:53:00+00:00,2024-07-25T14:24:00.000000,short,Normal,1.08404,1.08472,1.082,1.08472,6.8,0.14,9.58,loss,-9.58,948.18,1,quarters|gap,asia_high,2,1.08452,False
2024-07-30,2024-07-30 13:00:00+00:00,2024-07-30T13:25:00.000000,long,Normal,1.0803,1.07995,1.08135,1.08135,3.5,0.28,9.48,win,28.45,976.62,1,divergence|magnets,prev_day_low,3,1.08015,False
2024-07-30,2024-07-30 14:05:00+00:00,2024-07-30T14:11:00.000000,long,Normal,1.08021,1.07995,1.08099,1.07995,2.6,0.37,9.77,loss,-9.77,966.86,2,divergence|magnets,prev_day_low,3,1.08015,False
2024-08-22,2024-08-22 14:25:00+00:00,,long,Normal,1.11055,1.10961,1.11337,1.10961,9.4,0.1,9.67,loss,-9.67,957.19,1,quarters|magnets,prev_day_low,3,1.10981,False
2024-08-23,2024-08-23 14:14:00+00:00,2024-08-23T14:15:00.000000,short,Normal,1.11653,1.11678,1.11578,1.11678,2.5,0.38,9.57,loss,-9.57,947.62,1,divergence|magnets|gap,prev_day_high,3,1.11658,False
2024-08-27,2024-08-27 13:00:00+00:00,2024-08-27T13:27:00.000000,long,Normal,1.11609,1.11563,1.11747,1.11563,4.6,0.2,9.48,loss,-9.48,938.14,1,divergence|quarters|magnets,asia_low,2,1.11583,True
2024-08-30,2024-08-30 12:32:00+00:00,2024-08-30T13:07:00.000000,short,Normal,1.10814,1.10898,1.10562,1.10562,8.4,0.12,9.38,win,28.14,966.29,1,divergence|gap,asia_high,2,1.10878,False
